stock	3.0,2.0,0.000237600238,0.000165727544
limited	4.0,8.0,0.000297000297,0.000497182632
entergyr	1.0,0.0,0.000118800119,0.000055242515
additionally	1.0,1.0,0.000118800119,0.000110485029
doubts	0.0,1.0,0.000059400059,0.000110485029
dynamic	2.0,0.0,0.000178200178,0.000055242515
externally	0.0,2.0,0.000059400059,0.000165727544
yellow	0.0,1.0,0.000059400059,0.000110485029
four	2.0,3.0,0.000178200178,0.000220970059
protest	2.0,0.0,0.000178200178,0.000055242515
35782	1.0,0.0,0.000118800119,0.000055242515
invovled	2.0,0.0,0.000178200178,0.000055242515
railing	0.0,1.0,0.000059400059,0.000110485029
appetite	0.0,2.0,0.000059400059,0.000165727544
hate	0.0,4.0,0.000059400059,0.000276212573
worked	1.0,1.0,0.000118800119,0.000110485029
forget	0.0,1.0,0.000059400059,0.000110485029
looking	0.0,4.0,0.000059400059,0.000276212573
fronts	1.0,0.0,0.000118800119,0.000055242515
founder	0.0,1.0,0.000059400059,0.000110485029
granting	0.0,1.0,0.000059400059,0.000110485029
turner	1.0,0.0,0.000118800119,0.000055242515
locomotive	0.0,1.0,0.000059400059,0.000110485029
originality	0.0,1.0,0.000059400059,0.000110485029
345	1.0,0.0,0.000118800119,0.000055242515
koromah	0.0,2.0,0.000059400059,0.000165727544
swap	0.0,2.0,0.000059400059,0.000165727544
whatsoever	0.0,2.0,0.000059400059,0.000165727544
riedel	1.0,0.0,0.000118800119,0.000055242515
sibilant	0.0,1.0,0.000059400059,0.000110485029
sorry	2.0,0.0,0.000178200178,0.000055242515
diverted	1.0,0.0,0.000118800119,0.000055242515
homemakers	0.0,1.0,0.000059400059,0.000110485029
349	0.0,2.0,0.000059400059,0.000165727544
overpaying	0.0,1.0,0.000059400059,0.000110485029
merchant	2.0,0.0,0.000178200178,0.000055242515
plants	2.0,0.0,0.000178200178,0.000055242515
collaborate	2.0,0.0,0.000178200178,0.000055242515
risk	31.0,1.0,0.001900801901,0.000110485029
taylorja	1.0,0.0,0.000118800119,0.000055242515
regional	8.0,0.0,0.000534600535,0.000055242515
distort	0.0,1.0,0.000059400059,0.000110485029
knelt	0.0,1.0,0.000059400059,0.000110485029
travis	1.0,0.0,0.000118800119,0.000055242515
georgia	0.0,1.0,0.000059400059,0.000110485029
every	0.0,9.0,0.000059400059,0.000552425146
affect	0.0,1.0,0.000059400059,0.000110485029
multiple	1.0,4.0,0.000118800119,0.000276212573
similes	0.0,1.0,0.000059400059,0.000110485029
school	0.0,1.0,0.000059400059,0.000110485029
internally	2.0,0.0,0.000178200178,0.000055242515
exaggerate	0.0,1.0,0.000059400059,0.000110485029
customizable	0.0,1.0,0.000059400059,0.000110485029
supports	2.0,0.0,0.000178200178,0.000055242515
withers	2.0,0.0,0.000178200178,0.000055242515
companies	2.0,3.0,0.000178200178,0.000220970059
solution	0.0,2.0,0.000059400059,0.000165727544
xqirzd	0.0,1.0,0.000059400059,0.000110485029
convenience	1.0,0.0,0.000118800119,0.000055242515
casinos	0.0,1.0,0.000059400059,0.000110485029
suite	1.0,3.0,0.000118800119,0.000220970059
299	0.0,1.0,0.000059400059,0.000110485029
deadline	2.0,4.0,0.000178200178,0.000276212573
mongolia	0.0,1.0,0.000059400059,0.000110485029
heading	0.0,1.0,0.000059400059,0.000110485029
cyberopps	0.0,1.0,0.000059400059,0.000110485029
expanded	1.0,0.0,0.000118800119,0.000055242515
force	1.0,3.0,0.000118800119,0.000220970059
leaders	1.0,0.0,0.000118800119,0.000055242515
tired	0.0,2.0,0.000059400059,0.000165727544
capitalisation	0.0,1.0,0.000059400059,0.000110485029
consistent	1.0,0.0,0.000118800119,0.000055242515
bacon	0.0,1.0,0.000059400059,0.000110485029
direct	2.0,0.0,0.000178200178,0.000055242515
southernenergy	2.0,0.0,0.000178200178,0.000055242515
horn	0.0,1.0,0.000059400059,0.000110485029
dobmeos	0.0,1.0,0.000059400059,0.000110485029
kevin	47.0,0.0,0.002851202851,0.000055242515
likely	6.0,0.0,0.000415800416,0.000055242515
street	1.0,0.0,0.000118800119,0.000055242515
perfect	1.0,2.0,0.000118800119,0.000165727544
freehand	0.0,1.0,0.000059400059,0.000110485029
n	1.0,7.0,0.000118800119,0.000441940117
quite	2.0,1.0,0.000178200178,0.000110485029
even	1.0,9.0,0.000118800119,0.000552425146
established	1.0,1.0,0.000118800119,0.000110485029
errors	0.0,5.0,0.000059400059,0.000331455088
revised	1.0,0.0,0.000118800119,0.000055242515
hidd	0.0,1.0,0.000059400059,0.000110485029
pts	1.0,0.0,0.000118800119,0.000055242515
spoke	1.0,0.0,0.000118800119,0.000055242515
entergy	6.0,0.0,0.000415800416,0.000055242515
asia	0.0,1.0,0.000059400059,0.000110485029
slotting	0.0,1.0,0.000059400059,0.000110485029
bonuses	0.0,4.0,0.000059400059,0.000276212573
faclities	1.0,0.0,0.000118800119,0.000055242515
above	2.0,5.0,0.000178200178,0.000331455088
conduct	2.0,0.0,0.000178200178,0.000055242515
supplier	2.0,0.0,0.000178200178,0.000055242515
new	39.0,17.0,0.002376002376,0.000994365264
bharat	1.0,0.0,0.000118800119,0.000055242515
increasing	2.0,0.0,0.000178200178,0.000055242515
ever	0.0,2.0,0.000059400059,0.000165727544
consisting	0.0,1.0,0.000059400059,0.000110485029
told	2.0,3.0,0.000178200178,0.000220970059
textures	0.0,1.0,0.000059400059,0.000110485029
why	0.0,10.0,0.000059400059,0.000607667661
dryblower	0.0,1.0,0.000059400059,0.000110485029
relates	0.0,1.0,0.000059400059,0.000110485029
intercreditor	1.0,0.0,0.000118800119,0.000055242515
affiliates	0.0,3.0,0.000059400059,0.000220970059
hundreds	0.0,1.0,0.000059400059,0.000110485029
beck	3.0,0.0,0.000237600238,0.000055242515
108	1.0,0.0,0.000118800119,0.000055242515
china	0.0,3.0,0.000059400059,0.000220970059
humility	0.0,2.0,0.000059400059,0.000165727544
active	1.0,0.0,0.000118800119,0.000055242515
path	1.0,0.0,0.000118800119,0.000055242515
100	0.0,14.0,0.000059400059,0.000828637720
beca	0.0,1.0,0.000059400059,0.000110485029
107	0.0,1.0,0.000059400059,0.000110485029
celebration	1.0,1.0,0.000118800119,0.000110485029
borrowers	0.0,1.0,0.000059400059,0.000110485029
crespigny	0.0,2.0,0.000059400059,0.000165727544
forum	1.0,0.0,0.000118800119,0.000055242515
items	2.0,10.0,0.000178200178,0.000607667661
employees	7.0,0.0,0.000475200475,0.000055242515
changed	0.0,1.0,0.000059400059,0.000110485029
foolishness	0.0,1.0,0.000059400059,0.000110485029
oxymoron	1.0,0.0,0.000118800119,0.000055242515
credit	4.0,6.0,0.000297000297,0.000386697602
ect	378.0,0.0,0.022512622513,0.000055242515
specials	0.0,3.0,0.000059400059,0.000220970059
cindy	5.0,0.0,0.000356400356,0.000055242515
advantages	0.0,1.0,0.000059400059,0.000110485029
aka	0.0,1.0,0.000059400059,0.000110485029
changes	4.0,0.0,0.000297000297,0.000055242515
wood	1.0,0.0,0.000118800119,0.000055242515
ipps	5.0,0.0,0.000356400356,0.000055242515
mail	9.0,14.0,0.000594000594,0.000828637720
benedicta	0.0,2.0,0.000059400059,0.000165727544
julie	5.0,0.0,0.000356400356,0.000055242515
explained	0.0,1.0,0.000059400059,0.000110485029
angrily	0.0,1.0,0.000059400059,0.000110485029
chaeap	0.0,1.0,0.000059400059,0.000110485029
feelings	0.0,1.0,0.000059400059,0.000110485029
